sectionID,parentID,sectionName,parentName,length,sectionType
0,0,L5PCtemplate[0].soma[0],None,23.169408032474415,soma
1,0,L5PCtemplate[0].dend[0],L5PCtemplate[0].soma[0],24.200878230108255,dend
2,1,L5PCtemplate[0].dend[1],L5PCtemplate[0].dend[0],15.18219623504249,dend
3,2,L5PCtemplate[0].dend[2],L5PCtemplate[0].dend[1],151.65105212974905,dend
4,2,L5PCtemplate[0].dend[3],L5PCtemplate[0].dend[1],7.4556339070556366,dend
5,4,L5PCtemplate[0].dend[4],L5PCtemplate[0].dend[3],92.57582612025712,dend
6,4,L5PCtemplate[0].dend[5],L5PCtemplate[0].dend[3],193.14367011602678,dend
7,1,L5PCtemplate[0].dend[6],L5PCtemplate[0].dend[0],133.29218503059275,dend
8,0,L5PCtemplate[0].dend[7],L5PCtemplate[0].soma[0],27.13790848912385,dend
9,8,L5PCtemplate[0].dend[8],L5PCtemplate[0].dend[7],16.46306476701406,dend
10,9,L5PCtemplate[0].dend[9],L5PCtemplate[0].dend[8],15.947177517066333,dend
11,9,L5PCtemplate[0].dend[10],L5PCtemplate[0].dend[8],70.35202848812945,dend
12,8,L5PCtemplate[0].dend[11],L5PCtemplate[0].dend[7],8.079491562782842,dend
13,12,L5PCtemplate[0].dend[12],L5PCtemplate[0].dend[11],27.903255752955637,dend
14,13,L5PCtemplate[0].dend[13],L5PCtemplate[0].dend[12],147.45970684564904,dend
15,13,L5PCtemplate[0].dend[14],L5PCtemplate[0].dend[12],131.93778966057087,dend
16,12,L5PCtemplate[0].dend[15],L5PCtemplate[0].dend[11],44.352217136284516,dend
17,0,L5PCtemplate[0].dend[16],L5PCtemplate[0].soma[0],10.846157648977908,dend
18,17,L5PCtemplate[0].dend[17],L5PCtemplate[0].dend[16],7.098381050114419,dend
19,18,L5PCtemplate[0].dend[18],L5PCtemplate[0].dend[17],39.91103854727213,dend
20,19,L5PCtemplate[0].dend[19],L5PCtemplate[0].dend[18],29.2897273044702,dend
21,19,L5PCtemplate[0].dend[20],L5PCtemplate[0].dend[18],1.7456502958633486,dend
22,21,L5PCtemplate[0].dend[21],L5PCtemplate[0].dend[20],24.263218349414103,dend
23,21,L5PCtemplate[0].dend[22],L5PCtemplate[0].dend[20],45.00403709120258,dend
24,23,L5PCtemplate[0].dend[23],L5PCtemplate[0].dend[22],4.8313633185460665,dend
25,23,L5PCtemplate[0].dend[24],L5PCtemplate[0].dend[22],14.35536779135539,dend
26,18,L5PCtemplate[0].dend[25],L5PCtemplate[0].dend[17],28.050780552267245,dend
27,26,L5PCtemplate[0].dend[26],L5PCtemplate[0].dend[25],32.409675881613076,dend
28,27,L5PCtemplate[0].dend[27],L5PCtemplate[0].dend[26],68.61212192647884,dend
29,27,L5PCtemplate[0].dend[28],L5PCtemplate[0].dend[26],175.25184968017163,dend
30,26,L5PCtemplate[0].dend[29],L5PCtemplate[0].dend[25],22.734970419031747,dend
31,30,L5PCtemplate[0].dend[30],L5PCtemplate[0].dend[29],24.142508798949663,dend
32,31,L5PCtemplate[0].dend[31],L5PCtemplate[0].dend[30],93.37027185603422,dend
33,31,L5PCtemplate[0].dend[32],L5PCtemplate[0].dend[30],96.96613494964569,dend
34,30,L5PCtemplate[0].dend[33],L5PCtemplate[0].dend[29],80.14743562309046,dend
35,17,L5PCtemplate[0].dend[34],L5PCtemplate[0].dend[16],18.186518165323747,dend
36,35,L5PCtemplate[0].dend[35],L5PCtemplate[0].dend[34],159.91940279434203,dend
37,35,L5PCtemplate[0].dend[36],L5PCtemplate[0].dend[34],50.99523525509507,dend
38,37,L5PCtemplate[0].dend[37],L5PCtemplate[0].dend[36],79.77426160946564,dend
39,37,L5PCtemplate[0].dend[38],L5PCtemplate[0].dend[36],66.96756733261252,dend
40,0,L5PCtemplate[0].dend[39],L5PCtemplate[0].soma[0],96.13020753819205,dend
41,40,L5PCtemplate[0].dend[40],L5PCtemplate[0].dend[39],92.4966145376846,dend
42,40,L5PCtemplate[0].dend[41],L5PCtemplate[0].dend[39],37.957997473184754,dend
43,0,L5PCtemplate[0].dend[42],L5PCtemplate[0].soma[0],15.099800820095021,dend
44,43,L5PCtemplate[0].dend[43],L5PCtemplate[0].dend[42],25.10476634980918,dend
45,44,L5PCtemplate[0].dend[44],L5PCtemplate[0].dend[43],85.7278643741002,dend
46,44,L5PCtemplate[0].dend[45],L5PCtemplate[0].dend[43],147.11721214245094,dend
47,43,L5PCtemplate[0].dend[46],L5PCtemplate[0].dend[42],9.853413203988097,dend
48,47,L5PCtemplate[0].dend[47],L5PCtemplate[0].dend[46],7.946666992812656,dend
49,48,L5PCtemplate[0].dend[48],L5PCtemplate[0].dend[47],51.80025686719061,dend
50,49,L5PCtemplate[0].dend[49],L5PCtemplate[0].dend[48],17.423878393036997,dend
51,49,L5PCtemplate[0].dend[50],L5PCtemplate[0].dend[48],8.385952271668172,dend
52,48,L5PCtemplate[0].dend[51],L5PCtemplate[0].dend[47],59.65411832331909,dend
53,47,L5PCtemplate[0].dend[52],L5PCtemplate[0].dend[46],3.448140511210253,dend
54,53,L5PCtemplate[0].dend[53],L5PCtemplate[0].dend[52],21.01655181688293,dend
55,54,L5PCtemplate[0].dend[54],L5PCtemplate[0].dend[53],106.89669587500762,dend
56,54,L5PCtemplate[0].dend[55],L5PCtemplate[0].dend[53],3.113620413871497,dend
57,56,L5PCtemplate[0].dend[56],L5PCtemplate[0].dend[55],54.22313725475722,dend
58,56,L5PCtemplate[0].dend[57],L5PCtemplate[0].dend[55],16.88300948795688,dend
59,58,L5PCtemplate[0].dend[58],L5PCtemplate[0].dend[57],124.8770939925151,dend
60,58,L5PCtemplate[0].dend[59],L5PCtemplate[0].dend[57],153.47355120425715,dend
61,53,L5PCtemplate[0].dend[60],L5PCtemplate[0].dend[52],81.29649563050135,dend
62,61,L5PCtemplate[0].dend[61],L5PCtemplate[0].dend[60],88.77313292629438,dend
63,61,L5PCtemplate[0].dend[62],L5PCtemplate[0].dend[60],102.59566660370035,dend
64,0,L5PCtemplate[0].dend[63],L5PCtemplate[0].soma[0],20.826466755587834,dend
65,64,L5PCtemplate[0].dend[64],L5PCtemplate[0].dend[63],22.764496238691695,dend
66,65,L5PCtemplate[0].dend[65],L5PCtemplate[0].dend[64],25.670202986427928,dend
67,66,L5PCtemplate[0].dend[66],L5PCtemplate[0].dend[65],137.72578305118296,dend
68,66,L5PCtemplate[0].dend[67],L5PCtemplate[0].dend[65],107.17324861037616,dend
69,65,L5PCtemplate[0].dend[68],L5PCtemplate[0].dend[64],59.853788765176944,dend
70,69,L5PCtemplate[0].dend[69],L5PCtemplate[0].dend[68],103.27223797488985,dend
71,69,L5PCtemplate[0].dend[70],L5PCtemplate[0].dend[68],178.6813587874889,dend
72,64,L5PCtemplate[0].dend[71],L5PCtemplate[0].dend[63],22.04087070858761,dend
73,72,L5PCtemplate[0].dend[72],L5PCtemplate[0].dend[71],199.7718934586881,dend
74,72,L5PCtemplate[0].dend[73],L5PCtemplate[0].dend[71],13.368470787581758,dend
75,74,L5PCtemplate[0].dend[74],L5PCtemplate[0].dend[73],110.49670820177559,dend
76,74,L5PCtemplate[0].dend[75],L5PCtemplate[0].dend[73],25.001140096315865,dend
77,76,L5PCtemplate[0].dend[76],L5PCtemplate[0].dend[75],63.62050524166929,dend
78,76,L5PCtemplate[0].dend[77],L5PCtemplate[0].dend[75],48.2538687904149,dend
79,0,L5PCtemplate[0].dend[78],L5PCtemplate[0].soma[0],40.26803318155849,dend
80,0,L5PCtemplate[0].dend[79],L5PCtemplate[0].soma[0],15.775225003956407,dend
81,80,L5PCtemplate[0].dend[80],L5PCtemplate[0].dend[79],66.59880351020611,dend
82,80,L5PCtemplate[0].dend[81],L5PCtemplate[0].dend[79],26.215813124018535,dend
83,82,L5PCtemplate[0].dend[82],L5PCtemplate[0].dend[81],135.55122598094692,dend
84,82,L5PCtemplate[0].dend[83],L5PCtemplate[0].dend[81],17.25824290163945,dend
85,0,L5PCtemplate[0].apic[0],L5PCtemplate[0].soma[0],46.13561036852839,apic
86,85,L5PCtemplate[0].apic[1],L5PCtemplate[0].apic[0],65.09969588153733,apic
87,86,L5PCtemplate[0].apic[2],L5PCtemplate[0].apic[1],28.87154388753826,apic
88,87,L5PCtemplate[0].apic[3],L5PCtemplate[0].apic[2],41.286162435317145,apic
89,88,L5PCtemplate[0].apic[4],L5PCtemplate[0].apic[3],7.435908183431463,apic
90,89,L5PCtemplate[0].apic[5],L5PCtemplate[0].apic[4],9.877615399882632,apic
